,conv1 filters,conv2 filters,conv3 filters,accuracy,runtime
0,1,1,1,27.083333333333332,4.739510774612427
1,1,1,26,50.0,6.782512664794922
2,1,1,51,35.06944444444444,4.942732334136963
3,1,1,76,31.59722222222222,3.3449771404266357
4,1,1,101,44.09722222222222,9.725129127502441
5,1,1,126,29.51388888888889,7.213111877441406
6,1,1,151,26.041666666666668,9.32575273513794
7,1,1,176,27.430555555555557,3.1837072372436523
8,1,1,201,22.22222222222222,3.3623416423797607
9,1,1,226,28.819444444444443,6.1451427936553955
10,1,1,251,30.208333333333332,3.2938857078552246
11,1,1,276,29.51388888888889,3.4242513179779053
12,1,26,1,35.41666666666667,5.829678773880005
13,1,26,26,54.513888888888886,6.81555700302124
14,1,26,51,30.555555555555557,3.2175679206848145
15,1,26,76,54.513888888888886,9.835253477096558
16,1,26,101,30.90277777777778,5.5879600048065186
17,1,26,126,22.22222222222222,3.416934013366699
18,1,26,151,51.736111111111114,6.921661376953125
19,1,26,176,49.30555555555556,7.816250324249268
20,1,26,201,45.83333333333333,8.096690654754639
21,1,26,226,40.97222222222222,5.044511079788208
22,1,26,251,49.65277777777778,4.9881370067596436
23,1,26,276,25.694444444444443,3.3102262020111084
24,1,51,1,28.47222222222222,5.098623752593994
25,1,51,26,52.77777777777778,9.344701766967773
26,1,51,51,45.13888888888889,7.16616678237915
27,1,51,76,48.61111111111111,9.874267578125
28,1,51,101,36.11111111111111,4.202142238616943
29,1,51,126,47.91666666666667,7.03386926651001
30,1,51,151,48.26388888888889,9.375577449798584
31,1,51,176,29.166666666666668,3.236583948135376
32,1,51,201,33.33333333333333,4.407788276672363
33,1,51,226,37.5,7.880970478057861
34,1,51,251,28.47222222222222,3.3639943599700928
35,1,51,276,35.06944444444444,6.928544521331787
36,1,76,1,29.51388888888889,7.591320991516113
37,1,76,26,44.09722222222222,5.907482624053955
38,1,76,51,44.79166666666667,7.838243722915649
39,1,76,76,40.27777777777778,5.564094066619873
40,1,76,101,47.22222222222222,6.340551376342773
41,1,76,126,54.166666666666664,10.063676834106445
42,1,76,151,55.208333333333336,6.363699674606323
43,1,76,176,50.0,6.946654319763184
44,1,76,201,37.84722222222222,5.265646696090698
45,1,76,226,46.52777777777778,7.061772346496582
46,1,76,251,36.45833333333333,4.494526386260986
47,1,76,276,28.819444444444443,3.915623664855957
48,1,101,1,34.02777777777778,3.76470947265625
49,1,101,26,50.0,6.548034429550171
50,1,101,51,39.23611111111111,6.517948865890503
51,1,101,76,42.01388888888889,6.076527833938599
52,1,101,101,31.59722222222222,5.6428492069244385
53,1,101,126,46.18055555555556,8.540233373641968
54,1,101,151,37.84722222222222,5.256087303161621
55,1,101,176,50.69444444444444,6.721930980682373
56,1,101,201,39.58333333333333,9.503705024719238
57,1,101,226,39.23611111111111,4.657737493515015
58,1,101,251,52.43055555555556,7.004539489746094
59,1,101,276,33.68055555555556,5.611731052398682
60,1,126,1,26.73611111111111,4.2369420528411865
61,1,126,26,35.06944444444444,6.24897837638855
62,1,126,51,54.166666666666664,7.377404689788818
63,1,126,76,44.44444444444444,6.105564832687378
64,1,126,101,38.19444444444444,5.216991901397705
65,1,126,126,43.40277777777778,3.444697141647339
66,1,126,151,51.388888888888886,6.596709728240967
67,1,126,176,39.93055555555556,3.402244806289673
68,1,126,201,33.68055555555556,7.392355442047119
69,1,126,226,38.54166666666667,5.966939926147461
70,1,126,251,27.77777777777778,4.173350095748901
71,1,126,276,29.51388888888889,4.174218654632568
72,1,151,1,54.513888888888886,4.014878034591675
73,1,151,26,48.61111111111111,4.962605237960815
74,1,151,51,29.51388888888889,5.051996946334839
75,1,151,76,45.48611111111111,5.363996982574463
76,1,151,101,35.06944444444444,7.237087249755859
77,1,151,126,48.61111111111111,6.6005699634552
78,1,151,151,43.75,7.20447850227356
79,1,151,176,32.63888888888889,3.525794744491577
80,1,151,201,31.59722222222222,3.312049150466919
81,1,151,226,39.93055555555556,8.640729188919067
82,1,151,251,34.02777777777778,4.677922487258911
83,1,151,276,48.61111111111111,4.740152597427368
84,1,176,1,30.555555555555557,5.739093542098999
85,1,176,26,30.90277777777778,4.329595565795898
86,1,176,51,33.68055555555556,8.152743339538574
87,1,176,76,46.52777777777778,5.31596565246582
88,1,176,101,53.81944444444444,6.975260019302368
89,1,176,126,35.06944444444444,7.043935060501099
90,1,176,151,31.25,5.563725471496582
91,1,176,176,38.19444444444444,4.4896063804626465
92,1,176,201,28.47222222222222,5.6668102741241455
93,1,176,226,34.02777777777778,6.144516706466675
94,1,176,251,29.86111111111111,6.029572486877441
95,1,176,276,30.555555555555557,4.032220363616943
96,1,201,1,45.48611111111111,5.077400207519531
97,1,201,26,36.45833333333333,3.6263980865478516
98,1,201,51,53.47222222222222,5.1137988567352295
99,1,201,76,30.90277777777778,3.6904423236846924
100,1,201,101,49.65277777777778,5.507860898971558
101,1,201,126,33.33333333333333,3.531499147415161
102,1,201,151,30.555555555555557,4.174996614456177
103,1,201,176,47.56944444444444,7.3564863204956055
104,1,201,201,36.45833333333333,9.797845602035522
105,1,201,226,44.09722222222222,6.4097371101379395
106,1,201,251,26.38888888888889,3.614793539047241
107,1,201,276,36.11111111111111,4.329833984375
108,1,226,1,38.19444444444444,6.188570261001587
109,1,226,26,42.36111111111111,4.471846103668213
110,1,226,51,47.56944444444444,7.22033166885376
111,1,226,76,42.70833333333333,5.5478715896606445
112,1,226,101,37.84722222222222,7.143443822860718
113,1,226,126,31.944444444444443,6.989645719528198
114,1,226,151,46.875,7.607443571090698
115,1,226,176,31.944444444444443,5.644369840621948
116,1,226,201,28.125,4.684742212295532
117,1,226,226,28.125,3.9818501472473145
118,1,226,251,31.59722222222222,5.297285556793213
119,1,226,276,42.01388888888889,7.727163314819336
120,1,251,1,30.555555555555557,5.0335564613342285
121,1,251,26,46.18055555555556,6.928818702697754
122,1,251,51,43.05555555555556,6.747230052947998
123,1,251,76,38.88888888888889,5.7902562618255615
124,1,251,101,37.84722222222222,4.513333559036255
125,1,251,126,44.79166666666667,6.6056067943573
126,1,251,151,44.44444444444444,6.671072244644165
127,1,251,176,37.15277777777778,9.094366788864136
128,1,251,201,37.5,7.577751159667969
129,1,251,226,19.09722222222222,3.632460832595825
130,1,251,251,32.29166666666667,3.858198881149292
131,1,251,276,27.430555555555557,6.575074195861816
132,1,276,1,30.90277777777778,3.663774013519287
133,1,276,26,38.19444444444444,5.688343524932861
134,1,276,51,44.09722222222222,6.28364896774292
135,1,276,76,48.26388888888889,6.46506404876709
136,1,276,101,38.19444444444444,5.826947927474976
137,1,276,126,48.95833333333333,8.349320888519287
138,1,276,151,52.77777777777778,4.802729845046997
139,1,276,176,43.05555555555556,7.9309422969818115
140,1,276,201,35.06944444444444,5.494556427001953
141,1,276,226,51.736111111111114,4.793837547302246
142,1,276,251,39.93055555555556,5.126641750335693
143,1,276,276,24.65277777777778,3.8724749088287354
144,26,1,1,33.33333333333333,4.112281560897827
145,26,1,26,36.45833333333333,5.755281448364258
146,26,1,51,56.59722222222222,8.779406785964966
147,26,1,76,37.15277777777778,9.45514440536499
148,26,1,101,50.0,5.757588624954224
149,26,1,126,37.15277777777778,6.562084436416626
150,26,1,151,39.93055555555556,5.322926998138428
151,26,1,176,25.34722222222222,3.5834438800811768
152,26,1,201,26.38888888888889,3.784111738204956
153,26,1,226,28.819444444444443,3.470233917236328
154,26,1,251,34.02777777777778,3.578052043914795
155,26,1,276,26.73611111111111,3.4655373096466064
156,26,26,1,30.208333333333332,6.704559326171875
157,26,26,26,56.25,6.0118937492370605
158,26,26,51,49.65277777777778,5.718088388442993
159,26,26,76,56.25,7.876897811889648
160,26,26,101,51.388888888888886,6.0507519245147705
