,conv1 filters,conv2 filters,conv3 filters,accuracy,runtime,switch probability,temperature
0,50,100,201,31.944444444444443,19.202106714248657,-1,0.997
1,51,100,201,39.58333333333333,17.575114011764526,-1,0.994009
2,51,101,201,31.944444444444443,17.431202173233032,0.9260294022008445,0.991026973
3,51,102,201,30.90277777777778,18.30466341972351,0.9161350262525143,0.988053892081
4,51,103,201,34.02777777777778,17.194350242614746,0.9453242842846208,0.985089730404757
5,51,104,201,38.54166666666667,16.77161145210266,0.9894813788931747,0.9821344612135428
6,51,104,202,36.45833333333333,17.021456241607666,0.9686824267101218,0.9791880578299021
7,51,105,202,31.59722222222222,16.688663721084595,0.9216787882823286,0.9762504936564125
8,51,106,202,35.06944444444444,16.166985750198364,0.9548156491378632,0.9733217421754432
9,51,105,202,29.51388888888889,16.864552974700928,0.9017171145357421,0.9704017769489168
10,52,105,202,31.25,18.154754400253296,0.9177088613142821,0.9674905716180701
11,51,105,202,35.76388888888889,16.862555503845215,0.9612912495535775,0.9645880999032158
12,51,105,203,36.11111111111111,18.03183078765869,0.9646432430215157,0.9616943356035061
13,50,105,203,30.555555555555557,18.06880760192871,0.9103977645071039,0.9588092525966956
14,50,105,204,34.375,16.577731370925903,0.9471281719242498,0.9559328248389055
15,50,106,204,36.45833333333333,17.109402418136597,0.9678379801574993,0.9530650263643888
16,49,106,204,30.90277777777778,16.757619619369507,0.91294429599162,0.9502058312852957
17,49,107,204,29.86111111111111,17.31327486038208,0.902743325094385,0.9473552137914398
