,date,subject,keras_acc,keras_runtime,tpot_acc,tpot_runtime,auto-keras_acc,auto-keras_runtime,auto-sklearn_acc,auto-sklearn_runtime
0,2018-10-09 06-32-12.300945,1,0,0,0,0,0,0,0.25,114.81521391868591
1,2018-10-09 06-34-07.134678,2,0,0,0,0,0,0,0.25,114.67586064338684
2,2018-10-09 06-36-01.836414,3,0,0,0,0,0,0,0.25,114.63536977767944
3,2018-10-09 06-37-56.503576,4,0,0,0,0,0,0,0.25,114.71105909347534
4,2018-10-09 06-39-51.246654,5,0,0,0,0,0,0,0.25,114.67489266395569
5,2018-10-09 06-41-45.941154,6,0,0,0,0,0,0,0.25,114.66835737228394
6,2018-10-09 06-43-40.627891,7,0,0,0,0,0,0,0.25,114.54499220848083
7,2018-10-09 06-45-35.201712,8,0,0,0,0,0,0,0.25,114.70653176307678
8,2018-10-09 06-47-29.933077,9,0,0,0,0,0,0,0.25,114.93196606636047
