,conv1 filters,conv2 filters,conv3 filters,accuracy,train acc,runtime
269,151,201,126,57.29166667,100,8.381795168
283,151,251,176,57.29166667,100,6.960367918
303,201,51,76,57.29166667,98.69565217,6.105070114
318,201,101,151,57.29166667,96.52173913,6.194880009
332,201,151,201,57.29166667,100,8.487155437
349,201,251,26,57.29166667,100,8.444271564
356,201,251,201,57.29166667,100,8.253244638
401,251,151,126,57.29166667,100,6.690965176
103,51,101,176,56.94444444,90.43478266,5.251484394
162,101,51,151,56.94444444,98.69565217,6.578728914
165,101,51,226,56.94444444,99.56521739,8.936994791
173,101,101,126,56.94444444,98.26086957,5.345535517
189,101,151,226,56.94444444,100,7.686769009
193,101,201,26,56.94444444,100,5.723735332
286,151,251,251,56.94444444,100,8.333783627
342,201,201,151,56.94444444,100,7.177498341
117,51,151,226,56.59722222,94.78260864,5.190140009
119,51,151,276,56.59722222,94.7826087,7.777756929
128,51,201,201,56.59722222,100,7.203653812
130,51,201,251,56.59722222,73.04347829,5.849985361
167,101,51,276,56.59722222,96.08695652,7.317168236
172,101,101,101,56.59722222,100,5.825645208
178,101,101,251,56.59722222,97.82608696,7.928320885
196,101,201,101,56.59722222,99.56521739,5.562709093
213,101,251,226,56.59722222,99.13043478,7.114946842
239,151,51,276,56.59722222,98.26086957,6.461170197
259,151,151,176,56.59722222,82.60869565,6.942909956
271,151,201,176,56.59722222,99.56521739,7.674040556
316,201,101,101,56.59722222,99.13043478,6.728791237
359,201,251,276,56.59722222,100,11.01568913
381,251,51,226,56.59722222,99.56521739,6.51514411
427,251,251,176,56.59722222,100,7.947656393
118,51,151,251,56.25,96.95652174,6.351251841
188,101,151,201,56.25,100,6.655424833
210,101,251,151,56.25,100,6.317378759
231,151,51,76,56.25,99.56521739,7.856837511
234,151,51,151,56.25,96.08695647,7.438946247
314,201,101,51,56.25,100,6.685582399
392,251,101,201,56.25,95.65217396,9.066724539
100,51,101,101,55.90277778,100,7.391358376
110,51,151,51,55.90277778,100,6.943010807
183,101,151,76,55.90277778,100,5.997665644
208,101,251,101,55.90277778,100,6.608742237
304,201,51,101,55.90277778,100,7.952404737
319,201,101,176,55.90277778,96.95652169,5.326191902
352,201,251,101,55.90277778,95.65217391,6.498528242
399,251,151,76,55.90277778,100,9.370384693
86,51,51,51,55.55555556,98.69565217,6.08435154
244,151,101,101,55.55555556,99.56521739,6.300985813
267,151,201,76,55.55555556,97.39130435,6.458528042
281,151,251,126,55.55555556,100,6.870091677
301,201,51,26,55.55555556,100,7.154953957
302,201,51,51,55.55555556,100,7.381630898
322,201,101,251,55.55555556,71.73913046,5.924303293
345,201,201,226,55.55555556,76.95652174,7.113067389
386,251,101,51,55.55555556,95.65217391,4.675997734
389,251,101,126,55.55555556,100,6.454163313
400,251,151,101,55.55555556,97.39130435,5.785042048
104,51,101,201,55.20833333,100,7.543784142
107,51,101,276,55.20833333,95.2173913,6.152798414
175,101,101,176,55.20833333,100,7.045919657
251,151,101,276,55.20833333,97.8260869,5.990688801
254,151,151,51,55.20833333,100,8.016116381
320,201,101,201,55.20833333,99.13043478,7.158947945
403,251,151,176,55.20833333,100,8.189616919
426,251,251,151,55.20833333,98.26086957,6.804282665
98,51,101,51,54.86111111,100,8.556890011
121,51,201,26,54.86111111,100,5.566953421
194,101,201,51,54.86111111,100,5.807701111
229,151,51,26,54.86111111,100,6.243610382
308,201,51,201,54.86111111,91.73913038,7.261773586
328,201,151,101,54.86111111,100,5.60798502
73,51,1,26,54.51388889,75.65217391,9.123299122
285,151,251,226,54.51388889,76.95652169,6.908798218
398,251,151,51,54.51388889,99.56521739,5.897483826
413,251,201,126,54.51388889,96.52173913,5.54023695
131,51,201,276,54.16666667,100,10.67232704
330,201,151,151,54.16666667,95.65217391,5.59946847
343,201,201,176,54.16666667,100,7.488945484
423,251,251,76,54.16666667,100,7.452417374
123,51,201,76,53.81944444,100,8.16877532
133,51,251,26,53.81944444,100,6.123130798
161,101,51,126,53.81944444,91.73913043,5.674313068
407,251,151,276,53.81944444,98.26086957,8.492486238
139,51,251,176,53.47222222,98.69565217,6.709712505
143,51,251,276,53.47222222,98.69565217,5.855391502
357,201,251,226,53.47222222,100,7.431257963
77,51,1,126,53.125,71.30434783,9.161160946
90,51,51,151,53.125,100,7.249315977
135,51,251,76,53.125,100,6.392254353
174,101,101,151,53.125,79.56521739,7.354490519
198,101,201,151,53.125,100,6.820249557
275,151,201,276,53.125,99.56521739,8.228839159
338,201,201,51,53.125,100,6.496451855
394,251,101,251,53.125,99.56521739,7.705336094
417,251,201,226,53.125,98.69565217,10.64048743
265,151,201,26,52.77777778,100,5.690140247
323,201,101,276,52.77777778,94.7826087,6.012918711
419,251,201,276,52.77777778,94.78260864,5.712366343
116,51,151,201,52.43055556,100,8.316072226
157,101,51,26,52.43055556,100,6.507080078
169,101,101,26,52.43055556,100,6.002543926
311,201,51,276,52.43055556,77.8260869,10.3790772
327,201,151,76,52.43055556,98.69565217,5.639547348
340,201,201,101,52.43055556,100,5.89392519
137,51,251,126,52.08333333,100,5.590502739
205,101,251,26,52.08333333,100,6.409469128
223,151,1,176,52.08333333,74.7826087,7.693803549
170,101,101,51,51.73611111,98.26086957,5.74113369
200,101,201,201,51.73611111,91.73913043,8.526988029
202,101,201,251,51.73611111,99.56521739,6.90916276
315,201,101,76,51.73611111,91.30434783,4.920500278
122,51,201,51,51.38888889,100,7.09035182
212,101,251,201,51.38888889,89.13043478,6.063080788
217,151,1,26,51.38888889,67.39130435,6.699270487
250,151,101,251,51.38888889,77.8260869,8.07118845
274,151,201,251,51.38888889,72.60869565,5.826802254
376,251,51,101,51.38888889,98.69565217,5.641354561
379,251,51,176,51.38888889,77.8260869,7.636871338
431,251,251,276,51.38888889,81.30434783,6.315818787
74,51,1,51,51.04166667,74.7826087,8.815413237
80,51,1,201,51.04166667,67.39130437,8.923694372
85,51,51,26,51.04166667,99.56521739,7.265871763
115,51,151,176,51.04166667,71.73913046,5.746199608
176,101,101,201,51.04166667,76.52173913,5.30624938
284,151,251,201,51.04166667,93.47826087,6.293683529
18,1,51,151,50.69444444,94.78260864,8.014406443
142,51,251,251,50.69444444,97.82608696,6.422917366
158,101,51,51,50.69444444,95.21739125,5.664748192
369,251,1,226,50.69444444,68.26086957,6.411199808
15,1,51,76,50.34722222,96.52173913,7.761933565
29,1,101,126,50.34722222,95.65217391,6.787348747
113,51,151,126,50.34722222,90.86956522,5.134741545
138,51,251,151,50.34722222,100,9.951220989
306,201,51,151,50.34722222,82.6086956,4.830491781
233,151,51,126,50,89.13043473,5.031562567
363,251,1,76,50,65.65217391,7.536263943
41,1,151,126,49.65277778,94.34782609,8.012187719
215,101,251,276,49.65277778,76.08695647,10.50424099
364,251,1,101,49.65277778,81.30434788,9.874628067
30,1,101,151,49.30555556,72.17391304,6.03374362
53,1,201,126,49.30555556,93.91304343,6.046301126
171,101,101,76,49.30555556,91.73913043,5.221946478
368,251,1,201,49.30555556,58.69565217,8.012435198
421,251,251,26,49.30555556,100,5.506119013
12,1,51,1,48.95833333,61.30434784,6.564824343
60,1,251,1,48.95833333,68.26086962,6.151403666
337,201,201,26,48.95833333,92.17391304,4.981459856
375,251,51,76,48.95833333,96.08695647,5.803203821
28,1,101,101,48.61111111,99.56521739,10.38203955
220,151,1,101,48.61111111,72.17391304,9.003793478
43,1,151,176,48.26388889,95.21739125,6.397540808
46,1,151,251,47.91666667,71.30434788,7.906886339
216,151,1,1,47.91666667,75.65217394,7.323735714
222,151,1,151,47.91666667,82.17391299,8.666938066
294,201,1,151,47.91666667,62.60869565,6.643373728
383,251,51,276,47.91666667,67.39130435,4.750649929
127,51,201,176,47.56944444,92.6086956,6.234460831
221,151,1,126,47.22222222,82.17391304,9.248043776
67,1,251,176,46.875,98.69565217,9.551492453
68,1,251,201,46.52777778,85.2173913,6.80527997
237,151,51,226,46.52777778,91.30434777,4.777981281
367,251,1,176,46.52777778,65.21739132,9.152070761
52,1,201,101,46.18055556,98.26086957,6.976691246
159,101,51,76,46.18055556,89.56521734,5.139427662
199,101,201,176,45.83333333,78.69565217,5.804170609
201,101,201,226,45.83333333,71.30434788,5.313708067
238,151,51,251,45.83333333,68.26086951,7.132450819
291,201,1,76,45.83333333,63.04347826,7.43393302
295,201,1,176,45.83333333,64.34782611,9.755393982
31,1,101,176,45.48611111,79.13043483,8.876425505
309,201,51,226,45.48611111,56.52173913,5.869299173
51,1,201,76,45.13888889,79.1304348,5.380491257
105,51,101,226,45.13888889,85.21739136,5.103721619
153,101,1,226,45.13888889,54.34782611,7.388329983
191,101,151,276,45.13888889,86.95652174,5.403947115
235,151,51,176,45.13888889,68.26086951,5.122614622
261,151,151,226,45.13888889,85.65217391,7.504793644
333,201,151,226,45.13888889,49.56521742,8.46897769
361,251,1,26,44.79166667,69.99999995,6.491784811
13,1,51,26,44.44444444,90.86956517,10.69772053
17,1,51,126,44.44444444,74.78260864,6.680778503
50,1,201,51,44.44444444,100,7.916666508
145,101,1,26,44.44444444,73.47826092,7.97382021
164,101,51,201,44.44444444,76.08695647,6.737173319
334,201,151,251,44.44444444,63.04347829,5.421352863
84,51,51,1,44.09722222,77.82608701,5.793805599
257,151,151,126,44.09722222,83.4782609,4.9059515
293,201,1,126,43.75,55.65217391,5.683480024
38,1,151,51,43.05555556,99.13043478,7.548509121
44,1,151,201,43.05555556,72.60869565,7.614115477
71,1,251,276,43.05555556,100,10.64511967
224,151,1,201,43.05555556,54.34782609,7.506038904
63,1,251,76,42.70833333,75.21739136,4.287033796
382,251,51,251,42.36111111,44.3478261,7.199768782
33,1,101,226,41.31944444,44.34782614,4.284494638
61,1,251,26,41.31944444,92.60869565,6.157158136
120,51,201,1,40.97222222,83.47826082,5.426153898
37,1,151,26,40.625,92.1739131,6.702641249
151,101,1,176,39.23611111,61.73913038,7.789269209
380,251,51,201,39.23611111,48.69565219,4.267092943
20,1,51,201,38.88888889,53.04347829,5.989063263
45,1,151,226,38.88888889,48.26086957,4.584088326
32,1,101,201,38.54166667,99.13043478,7.683483601
54,1,201,151,38.19444444,78.26086951,6.612887621
57,1,201,226,37.84722222,47.8260869,5.641802788
249,151,101,226,37.84722222,60.00000005,4.400861502
27,1,101,76,37.5,73.47826082,6.109668016
218,151,1,51,37.5,52.17391304,6.624709845
347,201,201,276,37.5,44.3478261,6.157905579
62,1,251,51,37.15277778,84.34782614,6.155102015
219,151,1,76,37.15277778,54.34782611,4.853426695
297,201,1,226,36.80555556,40.00000001,7.708878756
23,1,51,276,36.11111111,60.00000003,8.558644533
25,1,101,26,36.11111111,59.13043478,5.583735228
40,1,151,101,36.11111111,92.60869565,7.124276876
5,1,1,126,35.76388889,37.39130435,4.632896185
182,101,151,51,35.76388889,72.17391304,4.884337187
16,1,51,101,35.41666667,56.08695655,6.141488791
39,1,151,76,35.41666667,70.86956524,4.875155687
149,101,1,126,35.41666667,53.91304343,5.521914721
59,1,201,276,35.06944444,36.52173913,4.512618065
65,1,251,126,35.06944444,65.65217391,4.448298216
146,101,1,51,35.06944444,50.86956517,6.039540052
240,151,101,1,34.72222222,96.52173913,6.106528044
292,201,1,101,34.72222222,53.91304353,6.122985125
6,1,1,151,34.375,41.30434785,3.8167696
26,1,101,51,34.375,95.2173913,7.752366066
70,1,251,251,34.375,41.30434784,3.843514204
93,51,51,226,34.375,45.65217386,3.62851119
289,201,1,26,34.375,49.13043473,5.906654596
21,1,51,226,34.02777778,36.08695653,3.65506649
64,1,251,101,34.02777778,95.65217391,5.851289511
321,201,101,226,34.02777778,44.34782609,3.982482672
362,251,1,51,34.02777778,58.26086957,5.239198685
47,1,151,276,33.68055556,60.43478266,6.149001837
83,51,1,276,33.68055556,30.86956524,5.616512775
296,201,1,201,33.68055556,33.04347827,4.763537169
384,251,101,1,33.68055556,45.65217394,4.794332981
69,1,251,226,33.33333333,34.3478261,4.615716457
