,date,subject,keras_acc,keras_runtime,tpot_acc,tpot_runtime,auto-keras_acc,auto-keras_runtime,auto-sklearn_acc,auto-sklearn_runtime
0,2018-10-08 07-23-41.300361,1,0.829861111,70.02367258,0,0,0,0,0,0
1,2018-10-08 07-26-48.605169,1,0.819444444,69.62233377,0,0,0,0,0,0
2,2018-10-08 07-29-55.786577,1,0.857638889,70.08337569,0,0,0,0,0,0
3,2018-10-08 07-33-04.198675,1,0.784722222,70.45793962,0,0,0,0,0,0
4,2018-10-08 07-36-12.567632,1,0.774305556,71.04753065,0,0,0,0,0,0
5,2018-10-08 07-39-22.433714,1,0.819444444,71.89695334,0,0,0,0,0,0
6,2018-10-08 07-42-33.384508,1,0.847222222,72.16900349,0,0,0,0,0,0
7,2018-10-08 07-45-45.429762,1,0.791666667,71.82110167,0,0,0,0,0,0
8,2018-10-08 07-48-57.449300,1,0.78125,72.72170711,0,0,0,0,0,0
